Sample_DeskTF,Sample_Door,TSI_0.3_Desk,TSI_1_Desk,TSI_2.5_Desk,TSI_3_Desk,TSI_5_Desk,TSI_10_Desk,TSI_0.3_door,TSI_1_door,TSI_2.5_door,TSI_3_door,TSI_5_door,TSI_10_door,Notes,ACH,Ct_TF_Desk,Ct_TF_door,Ct_DIFF,TSI_0.3_DIFF,TSI_1_DIFF,TSI_2.5_DIFF,TSI_3_DIFF
R952,R953,24737.783333333333,1616.9166666666667,77.93333333333334,75.43333333333334,28.066666666666666,6.25,19345.833333333332,1375.0666666666666,64.41666666666667,71.25,32.083333333333336,5.566666666666666,Dehumidification,0,33.35,40,-6.649999999999999,5391.950000000001,241.85000000000014,13.516666666666666,4.183333333333337
R963,R964,42104.29508196721,1916.0655737704917,112.88524590163935,112.50819672131148,36.42622950819672,4.524590163934426,37666.11475409836,1550.0983606557377,80.42622950819673,95,38.50819672131148,3.901639344262295,Humidification,0,40,40,0,4438.180327868853,365.96721311475403,32.459016393442624,17.508196721311478
R975,R976,29299.8,843.7666666666667,43.56666666666667,45.15,13.5,2.6,27971.45,753.65,37.93333333333333,46.03333333333333,18,3.283333333333333,Humidification,0,40,40,0,1328.3499999999985,90.11666666666667,5.63333333333334,-0.8833333333333329
H3,H4,41264,1741,116,152,68,13,35177,1241,88,153,62,13,Coughtest,0,30.7,30.45,0.25,6087,500,28,-1
H6,H7,38386,1078,73.8,89.2,34.8,10,38386,1078,73.8,89.2,34.8,10,Speaktest,0,31.233333333333334,33.75,-2.5166666666666657,0,0,0,0
H20,H21,50890.35,1827.0333333333333,100.93333333333334,121.2,48.233333333333334,9.066666666666666,44044.8,1433.0833333333333,73.01666666666667,94.15,44.166666666666664,7.966666666666667,Sitting,0,31.55,30.65,0.9000000000000021,6845.549999999996,393.95000000000005,27.91666666666667,27.049999999999997
H31,H33,45219.066666666666,689.7666666666667,43.4,53.6,23.166666666666668,6.15,31260.75,509.4,32.2,41.1,21.216666666666665,5.2,Lost,0,40,40,0,13958.316666666666,180.36666666666667,11.199999999999996,12.5
H43,H44,71712.4,2921.8,233.73333333333332,322.93333333333334,170.4,28.133333333333333,51658.73333333333,2007.6666666666667,147.53333333333333,217.86666666666667,138.26666666666668,20.6,Sitting-quitely,0,33.2,32.95,0.25,20053.666666666664,914.1333333333334,86.19999999999999,105.06666666666666
H54,H55,31578.083333333332,1068.0833333333333,74.66666666666667,102.375,49.958333333333336,10.375,28865.875,1088.2083333333333,76.125,115.08333333333333,68,14.333333333333334,Sitting-speaking,0,33.6,33.35,0.25,2712.208333333332,-20.125,-1.4583333333333286,-12.708333333333329
H77,H78,19367.45,661.1,31.6,35.18333333333333,15.6,5.466666666666667,20608.633333333335,576.1833333333333,28.166666666666668,33.55,16.416666666666668,4.083333333333333,Standing,0,30.9,30,0.8999999999999986,-1241.1833333333343,84.91666666666674,3.4333333333333336,1.6333333333333329
H83,H84,24207,1004,65,60,22,7,14182,382,28,33,19,3,Coughtest,0,40,33.650000000000006,6.349999999999994,10025,622,37,27
H86,H87,25891.2,2189.8,90.6,79,23.8,6.4,25891.2,2189.8,90.6,79,23.8,6.4,Speaktest,0,28.533333333333335,32.166666666666664,-3.6333333333333293,0,0,0,0
H100,H101,18305.016666666666,649.1666666666666,21.95,21.866666666666667,10.05,4.816666666666666,15545.716666666667,636.8666666666667,24.766666666666666,27.083333333333332,11.933333333333334,4.166666666666667,Sitting,0,30.2,29.4,0.8000000000000007,2759.2999999999993,12.299999999999955,-2.8166666666666664,-5.216666666666665
