Sample,Ct,Particle,Location,notes,ACH,Bin,bin
H290,30.45,27.18032786885246,TFdoor,Standing,0,5-10µ,5-10
H336,30,27.966666666666665,TFdoor,Sitting,0,5-10µ,5-10
H446,40,24.583333333333332,TFdoor,Sitting,0,5-10µ,5-10
H531,40,39.53333333333333,TFdoor,Sitting,0,5-10µ,5-10
H543,40,61.016129032258064,TFdoor,Standing,0,5-10µ,5-10
H577,40,53.42857142857143,TFdoor,Sitting,0,5-10µ,5-10
H620,40,11.383333333333333,TFdoor,Sitting,0,5-10µ,5-10
H632,40,30.716666666666665,TFdoor,Standing,0,5-10µ,5-10
H705,40,9.360655737704919,TFdoor,Sitting,0,5-10µ,5-10
H755,40,15.583333333333334,TFdoor,Sitting,0,5-10µ,5-10
H844,32.95,15.933333333333334,TFdoor,Sitting,0,5-10µ,5-10
H855,31.85,14.95,TFdoor,Standing,0,5-10µ,5-10
H890,31.95,25.548387096774192,TFdoor,Sitting,0,5-10µ,5-10
H928,40,12.257575757575758,TFdoor,Sitting,0,5-10µ,5-10
H1026,31.6,20.20967741935484,TFdoor,Sitting,0,5-10µ,5-10
H1107,40,42.45,TFdoor,Sitting,0,5-10µ,5-10
H1118,40,24.533333333333335,TFdoor,Standing,0,5-10µ,5-10
H1164,40,26.758064516129032,TFdoor,Sitting,0,5-10µ,5-10
H1191,40,24.983333333333334,TFdoor,Sitting,0,5-10µ,5-10
H1283,40,22.71014492753623,TFdoor,Sitting,0,5-10µ,5-10
R806,32.06666666666667,6.016666666666667,TFdoor,Sitting,0,10-25µ,10-25
R816,31.2,13.65,TFdoor,Standing,0,10-25µ,10-25
R826,33.36666666666667,11.14516129032258,TFdoor,Sitting,0,10-25µ,10-25
R864,40,6.523809523809524,TFdoor,Sitting,0,10-25µ,10-25
H21,30.65,7.966666666666667,TFdoor,Sitting,0,10-25µ,10-25
H78,30,4.083333333333333,TFdoor,Standing,0,10-25µ,10-25
H101,29.4,4.166666666666667,TFdoor,Sitting,0,10-25µ,10-25
H198,29.700000000000003,8.35593220338983,TFdoor,Sitting,0,10-25µ,10-25
H279,28.25,16.533333333333335,TFdoor,Sitting,0,10-25µ,10-25
H290,30.45,8.491803278688524,TFdoor,Standing,0,10-25µ,10-25
H336,30,6.433333333333334,TFdoor,Sitting,0,10-25µ,10-25
H446,40,9.8,TFdoor,Sitting,0,10-25µ,10-25
H531,40,9.4,TFdoor,Sitting,0,10-25µ,10-25
H543,40,21.370967741935484,TFdoor,Standing,0,10-25µ,10-25
H577,40,14.528571428571428,TFdoor,Sitting,0,10-25µ,10-25
H620,40,2.8,TFdoor,Sitting,0,10-25µ,10-25
H632,40,6,TFdoor,Standing,0,10-25µ,10-25
H705,40,2.1147540983606556,TFdoor,Sitting,0,10-25µ,10-25
H755,40,5.266666666666667,TFdoor,Sitting,0,10-25µ,10-25
H844,32.95,9.783333333333333,TFdoor,Sitting,0,10-25µ,10-25
H855,31.85,9.816666666666666,TFdoor,Standing,0,10-25µ,10-25
H890,31.95,17.580645161290324,TFdoor,Sitting,0,10-25µ,10-25
H928,40,5.166666666666667,TFdoor,Sitting,0,10-25µ,10-25
H1026,31.6,9.935483870967742,TFdoor,Sitting,0,10-25µ,10-25
H1107,40,12.266666666666667,TFdoor,Sitting,0,10-25µ,10-25
H1118,40,9.933333333333334,TFdoor,Standing,0,10-25µ,10-25
H1164,40,13.741935483870968,TFdoor,Sitting,0,10-25µ,10-25
H1191,40,7.166666666666667,TFdoor,Sitting,0,10-25µ,10-25
H1283,40,10.44927536231884,TFdoor,Sitting,0,10-25µ,10-25
